Deep Meaning	Expansion	Markup	Probability
[[end conversation]]	I should probably get back to work too! Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.5154109589041087, 0.517123287671232]
[[end conversation]]	Okay, well, I really need to get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.517123287671232, 0.5188356164383552]
[[end conversation]]	I'm sorry, but I think I probably should get back to work. Nice to see you. See you later.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5188356164383552, 0.5201198630136976]
[[end conversation]]	I'm sorry, but I should probably get back to work. Nice to see you. Bye.	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5201198630136976, 0.5226883561643826]
[[end conversation]]	I think I probably should get back to work too! Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.5226883561643826, 0.5244006849315058]
[[end conversation]]	We should really get back to work.	Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5244006849315058, 0.5252568493150674]
[[end conversation]]	No problem! Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4	[0.5252568493150674, 0.5256849315068483]
[[end conversation]]	Okay, well, I probably should get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.5256849315068483, 0.5261130136986291]
[[end conversation]]	Well, I really need to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5261130136986291, 0.528681506849314]
[[end conversation]]	Okay, well, I'm going to grab another drink. Nice to see you. Bye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.location.type == 'business' and 'bar' in speaker.location.services and not speaker.routine.working^PushObligation:goodbye^ResolveObligation:goodbye^MiscFunctions:EndConversation	[0.528681506849314, 0.5295376712328757]
[[end conversation]]	Okay, well, I'm going to grab another drink. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.location.type == 'business' and 'bar' in speaker.location.services and not speaker.routine.working^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.5295376712328757, 0.5312499999999989]
[[end conversation]]	I really have to get back to work. Nice to see you. Bye.	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^MiscFunctions:EndConversation	[0.5312499999999989, 0.5325342465753413]
[[end conversation]]	I have to run. Nice to see you. Have a great [speaker.game.time_of_day].	PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5325342465753413, 0.5329623287671221]
[[end conversation]]	Well, I have to go. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5329623287671221, 0.5346746575342454]
[[end conversation]]	I should really get back to work too! Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'	[0.5346746575342454, 0.535530821917807]
[[end conversation]]	I really should get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.535530821917807, 0.5359589041095878]
[[end conversation]]	I think I should get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5359589041095878, 0.5385273972602728]
[[end conversation]]	I should really get back to work. Nice to see you. Bye.	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^MiscFunctions:EndConversation	[0.5385273972602728, 0.540239726027396]
[[end conversation]]	I should get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.540239726027396, 0.5406678082191768]
[[end conversation]]	Okay, well, I really need to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.5406678082191768, 0.5415239726027384]
[[end conversation]]	Okay, well, I should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.5415239726027384, 0.5423801369863]
[[end conversation]]	I should probably get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5423801369863, 0.5428082191780809]
[[end conversation]]	Well, I should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5428082191780809, 0.5466609589041083]
[[end conversation]]	Okay, well, I'm going to grab another drink. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda speaker: speaker.location.type == 'business' and 'bar' in speaker.location.services and not speaker.routine.working^PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.5466609589041083, 0.5483732876712315]
[[end conversation]]	I'm sorry, but I'm going to grab another drink. Nice to see you. Take care.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.location.type == 'business' and 'bar' in speaker.location.services and not speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4	[0.5483732876712315, 0.5488013698630123]
[[end conversation]]	I probably should get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5488013698630123, 0.5492294520547931]
[[end conversation]]	I think I should get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5492294520547931, 0.5496575342465739]
[[end conversation]]	I need to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5496575342465739, 0.5500856164383547]
[[end conversation]]	I should really get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5500856164383547, 0.5505136986301356]
[[end conversation]]	I have to run. Nice to see you. Bye.	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.5505136986301356, 0.5509417808219164]
[[end conversation]]	I'm sorry, but I should probably head out. Nice to see you. See you later.	Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5509417808219164, 0.5513698630136972]
[[end conversation]]	I probably should get back to work too! Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.5513698630136972, 0.5539383561643821]
[[end conversation]]	Okay, well, I have to go. Nice to see you. See you later.	PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.5539383561643821, 0.5552226027397246]
[[end conversation]]	I should get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.5552226027397246, 0.5556506849315054]
[[end conversation]]	Okay, well, I have to run. Nice to see you. Have a great [speaker.game.time_of_day].	PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.5556506849315054, 0.5573630136986286]
[[end conversation]]	I should really get back to work too! Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.5573630136986286, 0.558647260273971]
[[end conversation]]	I'm sorry, but I really need to get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.558647260273971, 0.5663527397260258]
[[end conversation]]	I'm sorry, but I'm going to grab another drink. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^Preconditions:lambda speaker: speaker.location.type == 'business' and 'bar' in speaker.location.services and not speaker.routine.working^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.5663527397260258, 0.5667808219178067]
[[end conversation]]	Okay, well, I should probably head out. Nice to see you. Bye.	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation	[0.5667808219178067, 0.5672089041095875]
[[end conversation]]	I need to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5672089041095875, 0.5693493150684916]
[[end conversation]]	Okay, well, I think I probably should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5693493150684916, 0.5727739726027382]
[[end conversation]]	I really need to get back to work too! Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.5727739726027382, 0.5744863013698615]
[[end conversation]]	Well, I should really get back to work. Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5744863013698615, 0.5757705479452039]
[[end conversation]]	I'm sorry, but I really have to get back to work. Nice to see you. Bye.	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5757705479452039, 0.5783390410958889]
[[end conversation]]	I think I probably should get back to work. Nice to see you. Goodbye.	Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5783390410958889, 0.5800513698630121]
[[end conversation]]	I probably should get back to work too! Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.5800513698630121, 0.5847602739726011]
[[end conversation]]	I'm sorry, but I need to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5847602739726011, 0.5860445205479435]
[[end conversation]]	I should probably get back to work. Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5860445205479435, 0.5864726027397243]
[[end conversation]]	I really need to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5864726027397243, 0.5886130136986285]
[[end conversation]]	Well, I think I probably should get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5886130136986285, 0.5937499999999983]
[[end conversation]]	I should probably get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5937499999999983, 0.5941780821917791]
[[end conversation]]	I'm sorry, but I think I should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.5941780821917791, 0.5967465753424641]
[[end conversation]]	Well, I should get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.5967465753424641, 0.5993150684931491]
[[end conversation]]	I'm sorry, but I really should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.5993150684931491, 0.6010273972602723]
[[end conversation]]	I really should get back to work too! Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.6010273972602723, 0.6027397260273956]
[[end conversation]]	Well, I really have to get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.6027397260273956, 0.6044520547945188]
[[end conversation]]	I should get back to work. Nice to see you. Bye.	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^MiscFunctions:EndConversation	[0.6044520547945188, 0.606592465753423]
[[end conversation]]	I should really get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.606592465753423, 0.6070205479452038]
[[end conversation]]	I'm sorry, but I really have to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.6070205479452038, 0.6083047945205462]
[[end conversation]]	I'm sorry, but I should probably get back to work. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working	[0.6083047945205462, 0.6095890410958886]
[[end conversation]]	I really need to get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.6095890410958886, 0.6108732876712311]
[[end conversation]]	I should get back to work too! Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.6108732876712311, 0.6121575342465735]
[[end conversation]]	I think I probably should get back to work. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.6121575342465735, 0.6147260273972585]
[[end conversation]]	Well, I need to get back to work. Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.6147260273972585, 0.6164383561643817]
[[end conversation]]	I should get back to work too! Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.6164383561643817, 0.6177226027397241]
[[end conversation]]	I should really get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.6177226027397241, 0.6181506849315049]
[[end conversation]]	I really should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.6181506849315049, 0.6185787671232857]
[[end conversation]]	Okay, well, I really should get back to work. Nice to see you. See you later.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.6185787671232857, 0.6198630136986282]
[[end conversation]]	I probably should get back to work. Yeah, bye...	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.6198630136986282, 0.6211472602739706]
[[end conversation]]	Okay, well, I should probably head out. Nice to see you. Take care.	PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker	[0.6211472602739706, 0.6220034246575322]
[[end conversation]]	I really need to get back to work. Yeah, bye...	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.6220034246575322, 0.6237157534246555]
[[end conversation]]	Well, I should probably head out. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.6237157534246555, 0.6254280821917787]
[[end conversation]]	Well, I need to get back to work. Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.6254280821917787, 0.6288527397260253]
[[end conversation]]	Well, I probably should get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.6288527397260253, 0.6309931506849294]
